sku_id,atc_code,atc_level1,atc_level2,atc_level3,atc_level4,product_name,sku_name,generic_name,generic_name_cn,category,therapy_area,dosage_form,specification,is_rx,is_essential_medicine,vbp_flag,vbp_batch,unit_price_cny,shelf_life_months,storage_type,cold_chain,supplier,lead_time_days
SKU-0001,C08CA01,C,C08,C08C,C08CA,Amlodipine Capsules 5mgx7,氨氯地平Capsules 5mgx7,Amlodipine,氨氯地平,C08C,Cardiovascular,Capsules,5mgx7,1,0,0,0,12.39,24,Ambient,0,科伦药业,30
SKU-0002,C07AB02,C,C07,C07A,C07AB,Metoprolol Oral Solution 500mgx14,美托洛尔Oral Solution 500mgx14,Metoprolol,美托洛尔,C07A,Cardiovascular,Oral Solution,500mgx14,1,0,0,0,68.08,36,Ambient,0,恒瑞医药,7
SKU-0003,C09CA03,C,C09,C09C,C09CA,Valsartan Injection 500mgx28,缬沙坦Injection 500mgx28,Valsartan,缬沙坦,C09C,Cardiovascular,Injection,500mgx28,1,0,0,0,58.77,48,Ambient,0,诺华制药,21
SKU-0004,C10AA05,C,C10,C10A,C10AA,Atorvastatin Granules 250mgx21,阿托伐他汀Granules 250mgx21,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Granules,250mgx21,1,0,1,2,29.81,12,Ambient,0,诺华制药,14
SKU-0005,C10AA01,C,C10,C10A,C10AA,Simvastatin Tablets 100mgx30,辛伐他汀Tablets 100mgx30,Simvastatin,辛伐他汀,C10A,Cardiovascular,Tablets,100mgx30,1,0,0,0,78.24,12,Ambient,0,赛诺菲,14
SKU-0006,C09CA01,C,C09,C09C,C09CA,Losartan Oral Solution 5mgx28,氯沙坦Oral Solution 5mgx28,Losartan,氯沙坦,C09C,Cardiovascular,Oral Solution,5mgx28,1,1,0,0,50.82,18,Ambient,0,赛诺菲,21
SKU-0007,C07AB07,C,C07,C07A,C07AB,Bisoprolol Oral Solution 5mgx30,比索洛尔Oral Solution 5mgx30,Bisoprolol,比索洛尔,C07A,Cardiovascular,Oral Solution,5mgx30,1,1,0,0,6.34,36,Cold Chain,1,赛诺菲,7
SKU-0008,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Capsules 500mgx100,瑞舒伐他汀Capsules 500mgx100,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Capsules,500mgx100,1,0,0,0,42.01,24,Ambient,0,赛诺菲,21
SKU-0009,C08CA01,C,C08,C08C,C08CA,Amlodipine Tablets 20mgx100,氨氯地平Tablets 20mgx100,Amlodipine,氨氯地平,C08C,Cardiovascular,Tablets,20mgx100,1,0,0,0,76.07,36,Ambient,0,阿斯利康,7
SKU-0010,C07AB02,C,C07,C07A,C07AB,Metoprolol Capsules 100mgx21,美托洛尔Capsules 100mgx21,Metoprolol,美托洛尔,C07A,Cardiovascular,Capsules,100mgx21,1,1,0,0,30.33,12,Ambient,0,正大天晴,30
SKU-0011,C09CA03,C,C09,C09C,C09CA,Valsartan Oral Solution 25mgx100,缬沙坦Oral Solution 25mgx100,Valsartan,缬沙坦,C09C,Cardiovascular,Oral Solution,25mgx100,1,0,0,0,71.32,24,Ambient,0,科伦药业,30
SKU-0012,C10AA05,C,C10,C10A,C10AA,Atorvastatin Capsules 500mgx21,阿托伐他汀Capsules 500mgx21,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Capsules,500mgx21,1,1,0,0,22.13,18,Ambient,0,恒瑞医药,30
